jfibo_term,label_en,label_ja,status,kind,parents,sources
ADRDepositary,ADR depositary,ＡＤＲ預託機関,proposed,NamedIndividual,,https://disclosure2.edinet-fsa.go.jp/
AccountingDisclosure,accounting disclosure,会計開示,proposed,NamedIndividual,,https://www.fsa.go.jp/search/20251111.html
AnnualSecuritiesReport,annual securities report,有価証券報告書,proposed,NamedIndividual,,https://disclosure2.edinet-fsa.go.jp/
BankingActOfJapan,Banking Act of Japan,銀行法,proposed,NamedIndividual,,https://www.japaneselawtranslation.go.jp/en/laws/view/3403
BeneficialHolder,beneficial holder,実質株主,proposed,NamedIndividual,,https://disclosure2.edinet-fsa.go.jp/
BorrowingsClaim,borrowings claim,借入金主張,proposed,Class,https://w3id.org/jfibo/ontology/JP/core/DisclosureClaim,https://www.fsa.go.jp/search/20251111.html
CabinetOfficeOrdinanceOnCorporateDisclosure,Cabinet Office Ordinance on Disclosure of Corporate Affairs,企業内容等の開示に関する内閣府令,proposed,NamedIndividual,,https://elaws.e-gov.go.jp/document?lawid=348M50000040005
CommercialPaperClaim,commercial paper claim,コマーシャル・ペーパー残高開示,proposed,Class,https://w3id.org/jfibo/ontology/JP/core/DisclosureClaim,https://www.fsa.go.jp/search/20251111.html
CompaniesAct,Companies Act of Japan,会社法,proposed,NamedIndividual,,https://www.japaneselawtranslation.go.jp/en/laws/view/3206
CorporateGovernanceReport,corporate governance report,コーポレート・ガバナンス報告書,proposed,NamedIndividual,,https://www.jpx.co.jp/english/equities/listing/cg/index.html
Counterfactual,counterfactual,反実仮想,experimental-consumer-only,NamedIndividual,,https://www.w3.org/TR/prov-o/
CrossShareholdingClaim,cross-shareholding claim,相互保有主張,proposed,Class,https://w3id.org/jfibo/ontology/JP/core/DisclosureClaim,https://www.fsa.go.jp/search/20251111.html
CustodyBank,custody bank,カストディ銀行,proposed,NamedIndividual,,https://disclosure2.edinet-fsa.go.jp/
Disclosed,disclosed,開示済み,proposed,NamedIndividual,,https://disclosure2.edinet-fsa.go.jp/
DisclosureClaim,disclosure claim,開示主張,proposed,Class,http://www.w3.org/ns/prov#Entity,https://disclosure2.edinet-fsa.go.jp/; https://www.w3.org/TR/prov-o/
DocumentType,disclosure document type,開示書類種別,proposed,Class,http://www.w3.org/2004/02/skos/core#Concept,https://www.fsa.go.jp/search/20251111.html
EDINETDisclosureDocument,EDINET disclosure document,EDINET開示書類,proposed,Class,http://www.w3.org/ns/prov#Entity,https://disclosure2.edinet-fsa.go.jp/
EDINETTaxonomyElement,EDINET taxonomy element,EDINETタクソノミ要素,proposed,Class,http://www.w3.org/2004/02/skos/core#Concept,https://www.fsa.go.jp/search/20251111.html
EvidenceBackedInferred,evidence-backed inferred,証拠付き推論,proposed,NamedIndividual,,https://www.w3.org/TR/prov-o/
EvidenceItem,evidence item,証拠項目,proposed,Class,http://www.w3.org/ns/prov#Entity,https://www.fsa.go.jp/search/20251111.html; https://www.w3.org/TR/prov-o/
ExtraordinaryReport,extraordinary report,臨時報告書,proposed,NamedIndividual,,https://disclosure2.edinet-fsa.go.jp/
FinancialInstrumentsAndExchangeAct,Financial Instruments and Exchange Act (FIEL),金融商品取引法,proposed,NamedIndividual,,https://www.japaneselawtranslation.go.jp/en/laws/view/2355
GodoKaisha,godo kaisha,合同会社,proposed,Class,https://www.omg.org/spec/Commons/Organizations/FormalOrganization,https://www.japaneselawtranslation.go.jp/en/laws/view/3206
GovernanceDisclosure,governance disclosure,ガバナンス開示,proposed,NamedIndividual,,https://www.jpx.co.jp/english/equities/listing/cg/index.html
HolderRole,holder role,保有者役割,proposed,Class,http://www.w3.org/2004/02/skos/core#Concept,https://disclosure2.edinet-fsa.go.jp/
Hypothesized,hypothesized,仮説,proposed,NamedIndividual,,https://www.w3.org/TR/prov-o/
IndividualShareholder,individual shareholder,個人株主,proposed,NamedIndividual,,https://disclosure2.edinet-fsa.go.jp/
InferredHypothesis,inferred hypothesis,推論仮説,proposed,NamedIndividual,,https://www.w3.org/TR/prov-o/
InformationBoundary,information boundary,情報境界,experimental-consumer-only,Class,http://www.w3.org/ns/prov#Entity,https://www.w3.org/TR/prov-o/
InformationSet,information set,情報集合,proposed,Class,http://www.w3.org/ns/prov#Entity,https://www.w3.org/TR/prov-o/
InformationStatus,information status,情報状態,proposed,Class,http://www.w3.org/2004/02/skos/core#Concept,https://www.w3.org/TR/skos-reference/
InstitutionalExpectation,institutional expectation,制度的期待,proposed,NamedIndividual,,https://www.nber.org/papers/w23715
InstitutionalRelationshipHypothesis,institutional relationship hypothesis,制度的関係仮説,proposed,Class,https://w3id.org/jfibo/ontology/JP/core/DisclosureClaim,https://www.w3.org/TR/prov-o/
JPXListingRules,JPX/TSE Listing Rules,東証上場規程,proposed,NamedIndividual,,https://www.jpx.co.jp/english/equities/listing/index.html
Japan,Japan,日本,,NamedIndividual,,https://www.iso.org/obp/ui/#iso:code:3166:JP
JapanCGCode,Japan Corporate Governance Code,コーポレートガバナンス・コード,proposed,NamedIndividual,,https://www.jpx.co.jp/english/equities/listing/cg/index.html
JapaneseLanguage,Japanese (ja),日本語,,NamedIndividual,,https://www.iso.org/iso-639-language-code
